Date,Category,Subcategory,Task,Total
2023/1/30,Health,Resistance Training,Abs,5
2023/2/1,Health,Resistance Training,Abs,5
2023/2/2,Health,Resistance Training,Abs,5
2023/2/3,Health,Resistance Training,Abs,5
2023/2/4,Health,Resistance Training,Abs,5
2023/2/5,Health,Resistance Training,Abs,5
2023/2/6,Health,Resistance Training,Abs,5
2023/2/7,Health,Resistance Training,Abs,5
2023/2/8,Health,Resistance Training,Abs,5
2023/2/9,Health,Resistance Training,Abs,5
2023/2/10,Health,Resistance Training,Abs,5
2023/2/11,Health,Resistance Training,Abs,5
2023/2/12,Health,Resistance Training,Abs,5
2023/2/13,Health,Resistance Training,Abs,5
2023/2/14,Health,Resistance Training,Abs,5
2023/2/15,Health,Resistance Training,Abs,5
2023/2/16,Health,Resistance Training,Abs,5
2023/2/17,Health,Resistance Training,Abs,5
2023/2/18,Health,Resistance Training,Abs,5
2023/2/19,Health,Resistance Training,Abs,5
2023/2/20,Health,Resistance Training,Abs,5
2023/2/21,Health,Resistance Training,Abs,5
2023/2/22,Health,Resistance Training,Abs,5
2023/2/23,Health,Resistance Training,Abs,5
2023/2/24,Health,Resistance Training,Abs,5
2023/2/25,Health,Resistance Training,Abs,5
2023/2/26,Health,Resistance Training,Abs,5
2023/2/27,Health,Resistance Training,Abs,5
2023/2/28,Health,Resistance Training,Abs,5
2023/3/1,Health,Resistance Training,Abs,5
2023/3/2,Health,Resistance Training,Abs,5
2023/3/3,Health,Resistance Training,Abs,5
2023/3/4,Health,Resistance Training,Abs,5
2023/3/5,Health,Resistance Training,Abs,5
2023/3/6,Health,Resistance Training,Abs,5
2023/3/7,Health,Resistance Training,Abs,5
2023/3/8,Health,Resistance Training,Abs,5
2023/3/9,Health,Resistance Training,Abs,5
2023/3/10,Health,Resistance Training,Abs,5
2023/3/11,Health,Resistance Training,Abs,5
2023/3/12,Health,Resistance Training,Abs,5
2023/3/13,Health,Resistance Training,Abs,5
2023/3/14,Health,Resistance Training,Abs,5
2023/3/15,Health,Resistance Training,Abs,5
2023/3/16,Health,Resistance Training,Abs,5
2023/3/17,Health,Resistance Training,Abs,5
2023/3/18,Health,Resistance Training,Abs,5
2023/3/19,Health,Resistance Training,Abs,5
2023/3/20,Health,Resistance Training,Abs,5
2023/3/22,Health,Resistance Training,Abs,5
2023/3/23,Health,Resistance Training,Abs,5
2023/3/24,Health,Resistance Training,Abs,5
2023/3/25,Health,Resistance Training,Abs,5
2023/3/26,Health,Resistance Training,Abs,5
2023/3/27,Health,Resistance Training,Abs,5
2023/3/28,Health,Resistance Training,Abs,5
2023/3/29,Health,Resistance Training,Abs,5
2023/3/30,Health,Resistance Training,Abs,5
2023/3/31,Health,Resistance Training,Abs,5
2023/4/1,Health,Resistance Training,Abs,5
2023/4/2,Health,Resistance Training,Abs,5
2023/4/3,Health,Resistance Training,Abs,5
2023/4/4,Health,Resistance Training,Abs,5
2023/4/5,Health,Resistance Training,Abs,5
2023/4/6,Health,Resistance Training,Abs,5
2023/4/7,Health,Resistance Training,Abs,5
2023/4/8,Health,Resistance Training,Abs,5
2023/4/9,Health,Resistance Training,Abs,5
2023/4/10,Health,Resistance Training,Abs,5
2023/4/11,Health,Resistance Training,Abs,5
2023/4/12,Health,Resistance Training,Abs,5
2023/4/13,Health,Resistance Training,Abs,5
2023/4/14,Health,Resistance Training,Abs,5
2023/4/15,Health,Resistance Training,Abs,5
2023/4/16,Health,Resistance Training,Abs,5
2023/4/17,Health,Resistance Training,Abs,5
2023/4/18,Health,Resistance Training,Abs,5
2023/4/19,Health,Resistance Training,Abs,5
2023/4/20,Health,Resistance Training,Abs,5
2023/4/21,Health,Resistance Training,Abs,5
2023/4/22,Health,Resistance Training,Abs,5
2023/4/23,Health,Resistance Training,Abs,5
2023/4/24,Health,Resistance Training,Abs,5
2023/4/25,Health,Resistance Training,Abs,5
2023/4/26,Health,Resistance Training,Abs,5
2023/4/27,Health,Resistance Training,Abs,5
2023/4/28,Health,Resistance Training,Abs,5
2023/4/29,Health,Resistance Training,Abs,5
2023/4/30,Health,Resistance Training,Abs,5
2023/5/1,Health,Resistance Training,Abs,5
2023/5/2,Health,Resistance Training,Abs,5
2023/5/3,Health,Resistance Training,Abs,5
2023/5/4,Health,Resistance Training,Abs,5
2023/5/5,Health,Resistance Training,Abs,5
2023/5/6,Health,Resistance Training,Abs,5
2023/5/7,Health,Resistance Training,Abs,5
2023/5/8,Health,Resistance Training,Abs,5
2023/5/9,Health,Resistance Training,Abs,5
2023/5/10,Health,Resistance Training,Abs,5
2023/5/11,Health,Resistance Training,Abs,5
2023/5/12,Health,Resistance Training,Abs,5
2023/5/13,Health,Resistance Training,Abs,5
2023/5/14,Health,Resistance Training,Abs,5
2023/5/15,Health,Resistance Training,Abs,5
2023/5/16,Health,Resistance Training,Abs,5
2023/5/17,Health,Resistance Training,Abs,5
2023/5/18,Health,Resistance Training,Abs,5
2023/5/19,Health,Resistance Training,Abs,5
2023/5/20,Health,Resistance Training,Abs,5
2023/5/21,Health,Resistance Training,Abs,5
2023/5/22,Health,Resistance Training,Abs,5
2023/5/23,Health,Resistance Training,Abs,5
2023/5/24,Health,Resistance Training,Abs,5
2023/5/25,Health,Resistance Training,Abs,5
2023/5/26,Health,Resistance Training,Abs,5
2023/5/27,Health,Resistance Training,Abs,5
2023/5/28,Health,Resistance Training,Abs,5
2023/5/29,Health,Resistance Training,Abs,5
2023/5/30,Health,Resistance Training,Abs,5
2023/5/31,Health,Resistance Training,Abs,5
2023/6/1,Health,Resistance Training,Abs,5
2023/6/2,Health,Resistance Training,Abs,5
2023/6/3,Health,Resistance Training,Abs,5
2023/6/4,Health,Resistance Training,Abs,5
2023/6/5,Health,Resistance Training,Abs,5
2023/6/6,Health,Resistance Training,Abs,5
2023/6/7,Health,Resistance Training,Abs,5
2023/6/8,Health,Resistance Training,Abs,5
2023/6/9,Health,Resistance Training,Abs,5
2023/6/10,Health,Resistance Training,Abs,5
2023/6/11,Health,Resistance Training,Abs,5
2023/6/12,Health,Resistance Training,Abs,5
2023/6/13,Health,Resistance Training,Abs,5
2023/6/14,Health,Resistance Training,Abs,5
2023/6/15,Health,Resistance Training,Abs,5
2023/6/16,Health,Resistance Training,Abs,5
2023/6/17,Health,Resistance Training,Abs,5
2023/6/18,Health,Resistance Training,Abs,5
2023/6/19,Health,Resistance Training,Abs,5
2023/6/20,Health,Resistance Training,Abs,5
2023/6/21,Health,Resistance Training,Abs,5
2023/6/22,Health,Resistance Training,Abs,5
2023/6/23,Health,Resistance Training,Abs,5
2023/6/24,Health,Resistance Training,Abs,5
2023/6/25,Health,Resistance Training,Abs,5
2023/6/26,Health,Resistance Training,Abs,5
2023/6/27,Health,Resistance Training,Abs,5
2023/6/28,Health,Resistance Training,Abs,5
2023/6/29,Health,Resistance Training,Abs,5
2023/6/30,Health,Resistance Training,Abs,5
2023/7/1,Health,Resistance Training,Abs,5
2023/7/2,Health,Resistance Training,Abs,5
2023/7/3,Health,Resistance Training,Abs,5
2023/7/4,Health,Resistance Training,Abs,5
2023/7/5,Health,Resistance Training,Abs,5
2023/7/6,Health,Resistance Training,Abs,5
2023/7/7,Health,Resistance Training,Abs,5
2023/7/8,Health,Resistance Training,Abs,5
2023/7/9,Health,Resistance Training,Abs,5
2023/7/10,Health,Resistance Training,Abs,5
2023/7/11,Health,Resistance Training,Abs,5
2023/7/12,Health,Resistance Training,Abs,5
2023/7/13,Health,Resistance Training,Abs,5
2023/7/14,Health,Resistance Training,Abs,5
2023/7/15,Health,Resistance Training,Abs,5
2023/7/16,Health,Resistance Training,Abs,5
2023/7/17,Health,Resistance Training,Abs,5
2023/7/18,Health,Resistance Training,Abs,5
2023/7/19,Health,Resistance Training,Abs,5
2023/7/20,Health,Resistance Training,Abs,5
2023/7/21,Health,Resistance Training,Abs,5
2023/7/22,Health,Resistance Training,Abs,5
2023/7/23,Health,Resistance Training,Abs,5
2023/7/24,Health,Resistance Training,Abs,5
2023/7/25,Health,Resistance Training,Abs,5
2023/7/26,Health,Resistance Training,Abs,5
2023/7/27,Health,Resistance Training,Abs,5
2023/7/28,Health,Resistance Training,Abs,5
2023/7/29,Health,Resistance Training,Abs,5
2023/7/30,Health,Resistance Training,Abs,5
2023/8/1,Health,Resistance Training,Abs,5
2023/8/2,Health,Resistance Training,Abs,5
2023/8/3,Health,Resistance Training,Abs,5
2023/8/4,Health,Resistance Training,Abs,5
2023/8/5,Health,Resistance Training,Abs,5
2023/8/6,Health,Resistance Training,Abs,5
2023/8/7,Health,Resistance Training,Abs,5
2023/8/8,Health,Resistance Training,Abs,5
2023/8/9,Health,Resistance Training,Abs,5
2023/8/10,Health,Resistance Training,Abs,5
2023/8/11,Health,Resistance Training,Abs,5
2023/8/12,Health,Resistance Training,Abs,5
2023/8/13,Health,Resistance Training,Abs,6
2023/8/14,Health,Resistance Training,Abs,6
2023/8/15,Health,Resistance Training,Abs,6
2023/8/16,Health,Resistance Training,Abs,6
2023/8/17,Health,Resistance Training,Abs,6
2023/8/18,Health,Resistance Training,Abs,6
2023/8/19,Health,Resistance Training,Abs,6
2023/8/20,Health,Resistance Training,Abs,6
2023/8/21,Health,Resistance Training,Abs,6
2023/8/22,Health,Resistance Training,Abs,6
2023/8/23,Health,Resistance Training,Abs,6
2023/8/24,Health,Resistance Training,Abs,6
2023/8/25,Health,Resistance Training,Abs,6
2023/8/26,Health,Resistance Training,Abs,6
2023/8/27,Health,Resistance Training,Abs,6
2023/8/28,Health,Resistance Training,Abs,6
2023/8/29,Health,Resistance Training,Abs,6
2023/8/30,Health,Resistance Training,Abs,6
2023/8/31,Health,Resistance Training,Abs,6
2023/9/1,Health,Resistance Training,Abs,6
2023/9/2,Health,Resistance Training,Abs,6
2023/9/3,Health,Resistance Training,Abs,6
2023/9/4,Health,Resistance Training,Abs,6
2023/9/5,Health,Resistance Training,Abs,6
2023/9/6,Health,Resistance Training,Abs,6
2023/9/7,Health,Resistance Training,Abs,6
2023/9/8,Health,Resistance Training,Abs,6
2023/9/9,Health,Resistance Training,Abs,6
2023/9/10,Health,Resistance Training,Abs,6
2023/9/11,Health,Resistance Training,Abs,6
2023/9/12,Health,Resistance Training,Abs,6
2023/9/13,Health,Resistance Training,Abs,6
2023/9/14,Health,Resistance Training,Abs,6
2023/9/15,Health,Resistance Training,Abs,6
2023/9/16,Health,Resistance Training,Abs,6
2023/9/17,Health,Resistance Training,Abs,6
2023/9/18,Health,Resistance Training,Abs,6
2023/9/19,Health,Resistance Training,Abs,6
2023/9/20,Health,Resistance Training,Abs,6
2023/9/21,Health,Resistance Training,Abs,6
2023/9/22,Health,Resistance Training,Abs,6
2023/9/23,Health,Resistance Training,Abs,6
2023/9/24,Health,Resistance Training,Abs,6
2023/9/25,Health,Resistance Training,Abs,6
2023/9/26,Health,Resistance Training,Abs,6
2023/9/27,Health,Resistance Training,Abs,6
2023/9/28,Health,Resistance Training,Abs,6
2023/9/29,Health,Resistance Training,Abs,6
2023/9/30,Health,Resistance Training,Abs,6
2023/10/1,Health,Resistance Training,Abs,6
2023/10/2,Health,Resistance Training,Abs,6
2023/10/3,Health,Resistance Training,Abs,6
2023/10/4,Health,Resistance Training,Abs,6
2023/10/5,Health,Resistance Training,Abs,6
2023/10/6,Health,Resistance Training,Abs,6
2023/10/7,Health,Resistance Training,Abs,6
2023/10/8,Health,Resistance Training,Abs,6
2023/10/9,Health,Resistance Training,Abs,6
2023/10/10,Health,Resistance Training,Abs,6
2023/10/11,Health,Resistance Training,Abs,6
2023/10/12,Health,Resistance Training,Abs,6
2023/10/13,Health,Resistance Training,Abs,6
2023/10/14,Health,Resistance Training,Abs,6
2023/10/15,Health,Resistance Training,Abs,6
2023/10/16,Health,Resistance Training,Abs,6
2023/10/17,Health,Resistance Training,Abs,6
2023/10/18,Health,Resistance Training,Abs,6
2023/10/19,Health,Resistance Training,Abs,6
2023/10/20,Health,Resistance Training,Abs,6
2023/10/21,Health,Resistance Training,Abs,6
2023/10/22,Health,Resistance Training,Abs,6
2023/10/23,Health,Resistance Training,Abs,6
2023/10/24,Health,Resistance Training,Abs,6
2023/10/25,Health,Resistance Training,Abs,6
2023/10/26,Health,Resistance Training,Abs,6
2023/10/27,Health,Resistance Training,Abs,6
2023/10/28,Health,Resistance Training,Abs,6
2023/10/29,Health,Resistance Training,Abs,6
2023/10/30,Health,Resistance Training,Abs,6
2023/10/31,Health,Resistance Training,Abs,6
2021/8/9,Health,Resistance Training,Push-ups (Chest),92
2021/8/11,Health,Resistance Training,Push-ups (Chest),64
2021/8/13,Health,Resistance Training,Push-ups (Chest),63
2021/8/15,Health,Resistance Training,Push-ups (Chest),63
2021/8/17,Health,Resistance Training,Push-ups (Chest),68
2021/8/19,Health,Resistance Training,Push-ups (Chest),63
2021/8/21,Health,Resistance Training,Push-ups (Chest),70
2021/8/23,Health,Resistance Training,Push-ups (Chest),86
2021/8/25,Health,Resistance Training,Push-ups (Chest),90
2021/8/27,Health,Resistance Training,Push-ups (Chest),81
2021/8/29,Health,Resistance Training,Push-ups (Chest),70
2021/8/31,Health,Resistance Training,Push-ups (Chest),62
2021/9/2,Health,Resistance Training,Push-ups (Chest),72
2021/9/4,Health,Resistance Training,Push-ups (Chest),74
2021/9/6,Health,Resistance Training,Push-ups (Chest),76
2021/9/8,Health,Resistance Training,Push-ups (Chest),81
2021/9/10,Health,Resistance Training,Push-ups (Chest),84
2021/9/12,Health,Resistance Training,Push-ups (Chest),86
2021/9/14,Health,Resistance Training,Push-ups (Chest),76
2021/9/16,Health,Resistance Training,Push-ups (Chest),72
2021/9/18,Health,Resistance Training,Push-ups (Chest),74
2021/9/20,Health,Resistance Training,Push-ups (Chest),80
2021/9/22,Health,Resistance Training,Push-ups (Chest),78
2021/9/24,Health,Resistance Training,Push-ups (Chest),86
2021/9/26,Health,Resistance Training,Push-ups (Chest),74
2021/9/28,Health,Resistance Training,Push-ups (Chest),81
2021/9/30,Health,Resistance Training,Push-ups (Chest),78
2021/10/2,Health,Resistance Training,Push-ups (Chest),84
2021/10/4,Health,Resistance Training,Push-ups (Chest),72
2021/10/6,Health,Resistance Training,Push-ups (Chest),78
2021/10/8,Health,Resistance Training,Push-ups (Chest),72
2021/10/10,Health,Resistance Training,Push-ups (Chest),73
2021/10/12,Health,Resistance Training,Push-ups (Chest),73
2021/10/14,Health,Resistance Training,Push-ups (Chest),73
2021/10/16,Health,Resistance Training,Push-ups (Chest),88
2021/10/18,Health,Resistance Training,Push-ups (Chest),73
2021/10/20,Health,Resistance Training,Push-ups (Chest),73
2021/10/22,Health,Resistance Training,Push-ups (Chest),73
2021/10/24,Health,Resistance Training,Push-ups (Chest),80
2021/10/26,Health,Resistance Training,Push-ups (Chest),74
2021/10/28,Health,Resistance Training,Push-ups (Chest),74
2021/10/30,Health,Resistance Training,Push-ups (Chest),74
2021/11/1,Health,Resistance Training,Push-ups (Chest),75
2021/11/3,Health,Resistance Training,Push-ups (Chest),74
2021/11/5,Health,Resistance Training,Push-ups (Chest),74
2021/11/7,Health,Resistance Training,Push-ups (Chest),76
2021/11/9,Health,Resistance Training,Push-ups (Chest),74
2021/11/11,Health,Resistance Training,Push-ups (Chest),75
2021/11/13,Health,Resistance Training,Push-ups (Chest),75
2021/11/15,Health,Resistance Training,Push-ups (Chest),77
2021/11/17,Health,Resistance Training,Push-ups (Chest),80
2021/11/19,Health,Resistance Training,Push-ups (Chest),75
2021/11/21,Health,Resistance Training,Push-ups (Chest),78
2021/11/23,Health,Resistance Training,Push-ups (Chest),75
2021/11/25,Health,Resistance Training,Push-ups (Chest),75
2021/11/27,Health,Resistance Training,Push-ups (Chest),75
2021/11/29,Health,Resistance Training,Push-ups (Chest),77
2021/12/1,Health,Resistance Training,Push-ups (Chest),75
2021/12/3,Health,Resistance Training,Push-ups (Chest),75
2021/12/5,Health,Resistance Training,Push-ups (Chest),75
2021/12/7,Health,Resistance Training,Push-ups (Chest),75
2021/12/9,Health,Resistance Training,Push-ups (Chest),76
2021/12/11,Health,Resistance Training,Push-ups (Chest),75
2021/12/13,Health,Resistance Training,Push-ups (Chest),75
2021/12/15,Health,Resistance Training,Push-ups (Chest),75
2021/12/17,Health,Resistance Training,Push-ups (Chest),75
2021/12/19,Health,Resistance Training,Push-ups (Chest),79
2021/12/21,Health,Resistance Training,Push-ups (Chest),76
2021/12/23,Health,Resistance Training,Push-ups (Chest),75
2021/12/25,Health,Resistance Training,Push-ups (Chest),75
2021/12/27,Health,Resistance Training,Push-ups (Chest),75
2021/12/29,Health,Resistance Training,Push-ups (Chest),75
2021/12/31,Health,Resistance Training,Push-ups (Chest),75
2022/1/2,Health,Resistance Training,Push-ups (Chest),75
2022/1/4,Health,Resistance Training,Push-ups (Chest),75
2022/1/6,Health,Resistance Training,Push-ups (Chest),75
2022/1/8,Health,Resistance Training,Push-ups (Chest),75
2022/1/10,Health,Resistance Training,Push-ups (Chest),75
2022/1/12,Health,Resistance Training,Push-ups (Chest),75
2022/1/14,Health,Resistance Training,Push-ups (Chest),77
2022/1/16,Health,Resistance Training,Push-ups (Chest),78
2022/1/18,Health,Resistance Training,Push-ups (Chest),77
2022/1/20,Health,Resistance Training,Push-ups (Chest),80
2022/1/22,Health,Resistance Training,Push-ups (Chest),88
2022/1/24,Health,Resistance Training,Push-ups (Chest),75
2022/1/26,Health,Resistance Training,Push-ups (Chest),77
2022/1/28,Health,Resistance Training,Push-ups (Chest),77
2022/1/30,Health,Resistance Training,Push-ups (Chest),88
2022/2/1,Health,Resistance Training,Push-ups (Chest),84
2022/2/3,Health,Resistance Training,Push-ups (Chest),84
2022/2/5,Health,Resistance Training,Push-ups (Chest),98
2022/2/7,Health,Resistance Training,Push-ups (Chest),77
2022/2/9,Health,Resistance Training,Push-ups (Chest),77
2022/2/11,Health,Resistance Training,Push-ups (Chest),77
2022/2/13,Health,Resistance Training,Push-ups (Chest),77
2022/2/15,Health,Resistance Training,Push-ups (Chest),77
2022/2/17,Health,Resistance Training,Push-ups (Chest),77
2022/2/19,Health,Resistance Training,Push-ups (Chest),77
2022/2/21,Health,Resistance Training,Push-ups (Chest),77
2022/2/23,Health,Resistance Training,Push-ups (Chest),80
2022/2/25,Health,Resistance Training,Push-ups (Chest),77
2022/2/27,Health,Resistance Training,Push-ups (Chest),80
2022/2/28,Health,Resistance Training,Push-ups (Chest),77
2022/3/2,Health,Resistance Training,Push-ups (Chest),80
2022/3/4,Health,Resistance Training,Push-ups (Chest),78
2022/3/6,Health,Resistance Training,Push-ups (Chest),80
2022/3/8,Health,Resistance Training,Push-ups (Chest),80
2022/3/9,Health,Resistance Training,Push-ups (Chest),80
2022/3/10,Health,Resistance Training,Push-ups (Chest),80
2022/3/12,Health,Resistance Training,Push-ups (Chest),92
2022/3/14,Health,Resistance Training,Push-ups (Chest),80
2022/3/16,Health,Resistance Training,Push-ups (Chest),80
2022/3/18,Health,Resistance Training,Push-ups (Chest),77
2022/3/20,Health,Resistance Training,Push-ups (Chest),86
2022/3/22,Health,Resistance Training,Push-ups (Chest),80
2022/3/24,Health,Resistance Training,Push-ups (Chest),80
2022/3/26,Health,Resistance Training,Push-ups (Chest),83
2022/3/28,Health,Resistance Training,Push-ups (Chest),80
2022/3/30,Health,Resistance Training,Push-ups (Chest),82
2022/4/1,Health,Resistance Training,Push-ups (Chest),80
2022/4/3,Health,Resistance Training,Push-ups (Chest),81
2022/4/5,Health,Resistance Training,Push-ups (Chest),83
2022/4/7,Health,Resistance Training,Push-ups (Chest),86
2022/4/9,Health,Resistance Training,Push-ups (Chest),81
2022/4/11,Health,Resistance Training,Push-ups (Chest),84
2022/4/13,Health,Resistance Training,Push-ups (Chest),81
2022/4/15,Health,Resistance Training,Push-ups (Chest),83
2022/4/17,Health,Resistance Training,Push-ups (Chest),94
2022/4/19,Health,Resistance Training,Push-ups (Chest),80
2022/4/21,Health,Resistance Training,Push-ups (Chest),84
2022/4/23,Health,Resistance Training,Push-ups (Chest),84
2022/4/25,Health,Resistance Training,Push-ups (Chest),80
2022/4/27,Health,Resistance Training,Push-ups (Chest),86
2022/4/29,Health,Resistance Training,Push-ups (Chest),88
2022/5/1,Health,Resistance Training,Push-ups (Chest),86
2022/5/3,Health,Resistance Training,Push-ups (Chest),86
2022/5/5,Health,Resistance Training,Push-ups (Chest),88
2022/5/7,Health,Resistance Training,Push-ups (Chest),90
2022/5/9,Health,Resistance Training,Push-ups (Chest),93
2022/5/11,Health,Resistance Training,Push-ups (Chest),90
2022/5/13,Health,Resistance Training,Push-ups (Chest),92
2022/5/15,Health,Resistance Training,Push-ups (Chest),99
2022/5/17,Health,Resistance Training,Push-ups (Chest),88
2022/5/19,Health,Resistance Training,Push-ups (Chest),81
2022/5/21,Health,Resistance Training,Push-ups (Chest),105
2022/5/23,Health,Resistance Training,Push-ups (Chest),101
2022/5/25,Health,Resistance Training,Push-ups (Chest),84
2022/5/27,Health,Resistance Training,Push-ups (Chest),106
2022/5/29,Health,Resistance Training,Push-ups (Chest),90
2022/5/31,Health,Resistance Training,Push-ups (Chest),94
2022/6/2,Health,Resistance Training,Push-ups (Chest),90
2022/6/4,Health,Resistance Training,Push-ups (Chest),82
2022/6/8,Health,Resistance Training,Push-ups (Chest),88
2022/6/10,Health,Resistance Training,Push-ups (Chest),100
2022/6/12,Health,Resistance Training,Push-ups (Chest),100
2022/6/14,Health,Resistance Training,Push-ups (Chest),101
2022/6/16,Health,Resistance Training,Push-ups (Chest),94
2022/6/18,Health,Resistance Training,Push-ups (Chest),101
2022/6/20,Health,Resistance Training,Push-ups (Chest),81
2022/6/22,Health,Resistance Training,Push-ups (Chest),103
2022/6/24,Health,Resistance Training,Push-ups (Chest),116
2022/6/26,Health,Resistance Training,Push-ups (Chest),91
2022/6/28,Health,Resistance Training,Push-ups (Chest),90
2022/6/30,Health,Resistance Training,Push-ups (Chest),97
2022/7/2,Health,Resistance Training,Push-ups (Chest),94
2022/7/4,Health,Resistance Training,Push-ups (Chest),100
2022/7/6,Health,Resistance Training,Push-ups (Chest),100
2022/7/8,Health,Resistance Training,Push-ups (Chest),85
2022/7/10,Health,Resistance Training,Push-ups (Chest),120
2022/7/12,Health,Resistance Training,Push-ups (Chest),101
2022/7/14,Health,Resistance Training,Push-ups (Chest),100
2022/7/16,Health,Resistance Training,Push-ups (Chest),109
2022/7/18,Health,Resistance Training,Push-ups (Chest),90
2022/7/20,Health,Resistance Training,Push-ups (Chest),100
2022/7/22,Health,Resistance Training,Push-ups (Chest),103
2022/7/24,Health,Resistance Training,Push-ups (Chest),102
2022/7/26,Health,Resistance Training,Push-ups (Chest),106
2022/7/28,Health,Resistance Training,Push-ups (Chest),105
2022/7/30,Health,Resistance Training,Push-ups (Chest),114
2022/8/1,Health,Resistance Training,Push-ups (Chest),114
2022/8/3,Health,Resistance Training,Push-ups (Chest),112
2022/8/5,Health,Resistance Training,Push-ups (Chest),131
2022/8/7,Health,Resistance Training,Push-ups (Chest),103
2022/8/9,Health,Resistance Training,Push-ups (Chest),102
2022/8/11,Health,Resistance Training,Push-ups (Chest),101
2022/8/13,Health,Resistance Training,Push-ups (Chest),137
2022/8/15,Health,Resistance Training,Push-ups (Chest),120
2022/8/17,Health,Resistance Training,Push-ups (Chest),139
2022/8/19,Health,Resistance Training,Push-ups (Chest),132
2022/8/20,Health,Resistance Training,Push-ups (Chest),60
2022/8/21,Health,Resistance Training,Push-ups (Chest),81
2022/8/23,Health,Resistance Training,Push-ups (Chest),81
2022/8/25,Health,Resistance Training,Push-ups (Chest),80
2022/8/27,Health,Resistance Training,Push-ups (Chest),81
2022/8/28,Health,Resistance Training,Push-ups (Chest),100
2022/8/30,Health,Resistance Training,Push-ups (Chest),130
2022/8/31,Health,Resistance Training,Push-ups (Chest),55
2022/9/1,Health,Resistance Training,Push-ups (Chest),84
2022/9/2,Health,Resistance Training,Push-ups (Chest),40
2022/9/3,Health,Resistance Training,Push-ups (Chest),118
2022/9/5,Health,Resistance Training,Push-ups (Chest),102
2022/9/8,Health,Resistance Training,Push-ups (Chest),101
2022/9/11,Health,Resistance Training,Push-ups (Chest),121
2022/9/20,Health,Resistance Training,Push-ups (Chest),80
2022/9/21,Health,Resistance Training,Push-ups (Chest),105
2022/9/22,Health,Resistance Training,Push-ups (Chest),102
2022/9/25,Health,Resistance Training,Push-ups (Chest),100
2022/9/27,Health,Resistance Training,Push-ups (Chest),109
2022/9/28,Health,Resistance Training,Push-ups (Chest),111
2022/10/1,Health,Resistance Training,Push-ups (Chest),111
2022/10/4,Health,Resistance Training,Push-ups (Chest),102
2022/10/7,Health,Resistance Training,Push-ups (Chest),122
2022/10/11,Health,Resistance Training,Push-ups (Chest),105
2022/10/13,Health,Resistance Training,Push-ups (Chest),117
2022/10/14,Health,Resistance Training,Push-ups (Chest),107
2022/10/16,Health,Resistance Training,Push-ups (Chest),112
2022/10/18,Health,Resistance Training,Push-ups (Chest),102
2022/10/20,Health,Resistance Training,Push-ups (Chest),104
2022/10/23,Health,Resistance Training,Push-ups (Chest),103
2022/10/30,Health,Resistance Training,Push-ups (Chest),120
2022/11/2,Health,Resistance Training,Push-ups (Chest),101
2022/11/4,Health,Resistance Training,Push-ups (Chest),103
2022/11/6,Health,Resistance Training,Push-ups (Chest),75
2022/11/9,Health,Resistance Training,Push-ups (Chest),122
2022/11/14,Health,Resistance Training,Push-ups (Chest),105
2022/1/18,Health,Resistance Training,Push-ups (Chest),66
2022/11/21,Health,Resistance Training,Push-ups (Chest),118
2022/11/23,Health,Resistance Training,Push-ups (Chest),81
2022/11/25,Health,Resistance Training,Push-ups (Chest),108
2022/11/27,Health,Resistance Training,Push-ups (Chest),61
2022/11/29,Health,Resistance Training,Push-ups (Chest),103
2022/12/3,Health,Resistance Training,Push-ups (Chest),109
2022/12/4,Health,Resistance Training,Push-ups (Chest),68
2022/12/8,Health,Resistance Training,Push-ups (Chest),100
2022/12/10,Health,Resistance Training,Push-ups (Chest),75
2022/12/14,Health,Resistance Training,Push-ups (Chest),106
2022/12/17,Health,Resistance Training,Push-ups (Chest),100
2022/12/19,Health,Resistance Training,Push-ups (Chest),112
2022/12/23,Health,Resistance Training,Push-ups (Chest),81
2022/12/27,Health,Resistance Training,Push-ups (Chest),104
2022/12/29,Health,Resistance Training,Push-ups (Chest),103
2022/12/31,Health,Resistance Training,Push-ups (Chest),104
2023/1/3,Health,Resistance Training,Push-ups (Chest),103
2023/1/5,Health,Resistance Training,Push-ups (Chest),105
2023/1/7,Health,Resistance Training,Push-ups (Chest),100
2023/1/9,Health,Resistance Training,Push-ups (Chest),100
2023/1/11,Health,Resistance Training,Push-ups (Chest),100
2023/1/14,Health,Resistance Training,Push-ups (Chest),101
2023/1/16,Health,Resistance Training,Push-ups (Chest),100
2023/1/22,Health,Resistance Training,Push-ups (Chest),103
2023/1/24,Health,Resistance Training,Push-ups (Chest),103
2023/1/29,Health,Resistance Training,Push-ups (Chest),94
2023/1/31,Health,Resistance Training,Push-ups (Chest),85
2023/2/2,Health,Resistance Training,Push-ups (Chest),55
2023/2/5,Health,Resistance Training,Push-ups (Chest),103
2023/2/11,Health,Resistance Training,Push-ups (Chest),107
2023/12/13,Health,Resistance Training,Push-ups (Chest),90
2023/2/17,Health,Resistance Training,Push-ups (Chest),91
2023/2/19,Health,Resistance Training,Push-ups (Chest),93
2023/2/24,Health,Resistance Training,Push-ups (Chest),85
2023/2/26,Health,Resistance Training,Push-ups (Chest),89
2023/3/4,Health,Resistance Training,Push-ups (Chest),74
2023/3/6,Health,Resistance Training,Push-ups (Chest),107
2023/3/11,Health,Resistance Training,Push-ups (Chest),107
2023/3/18,Health,Resistance Training,Push-ups (Chest),109
2023/3/23,Health,Resistance Training,Push-ups (Chest),120
